Z	N	sc
41	38	4.4975035944517
28	52	-3.4757927668331376
29	51	-2.4719608446841903
30	50	-4.658283955506249
31	49	-4.414855518151398
32	48	-2.1305964422383568
33	47	-0.5103547278961287
34	46	1.2681699345646393
35	45	2.2143833524355614
36	44	3.469229662588077
37	43	3.763138427466174
38	42	4.4786801731379455
39	41	4.567482402712358
40	40	4.70628228930741
41	39	4.567482402712358
28	53	-1.8539358210878163
29	52	-2.461738404729658
30	51	-2.461738404729658
31	50	-4.396616399264076
32	49	-4.396616399264076
33	48	-0.5082395541967344
34	47	-0.5082395541967344
35	46	2.2052363209372743
36	45	2.2052363209372743
37	44	3.7475853750202077
38	43	3.7475853750202077
39	42	4.548600718694161
40	41	4.548600718694161
41	40	4.548600718694161
42	39	4.548600718694161
28	54	-1.8463742620479024
29	53	-0.8384355946379856
30	52	-2.4516828380774314
31	51	-2.1818388820722703
32	50	-4.378675083057715
33	49	-2.771280219408254
34	48	-0.506158892215808
35	47	0.4319991344027585
36	46	2.1962386442965
37	45	2.4877257884199935
38	44	3.7322862452683694
39	43	3.817249410786644
40	42	4.530027285397864
41	41	4.392362424623343
42	40	4.530027285397864
29	54	-0.8350488647911334
30	53	-0.8350488647911334
31	52	-2.1730406964045414
32	51	-2.1730406964045414
33	50	-2.7600993115252095
34	49	-2.7600993115252095
35	48	0.4302607764595905
36	47	0.4302607764595905
37	46	2.477691741488343
38	45	2.477691741488343
39	44	3.8018535750193223
40	43	3.8018535750193223
41	42	4.374642297788341
42	41	4.374642297788341
43	40	3.8018535750193223
29	55	0.16764846154001134
30	54	-0.8317160879746552
31	53	-0.5632508339613196
32	52	-2.1643827226539543
33	51	-0.5333750076583783
34	50	-2.749096566870776
35	49	-1.8188582258057977
36	48	0.4285501349122569
37	47	0.7176930680041096
38	46	2.467817593077598
39	45	2.55209930629303
40	44	3.786703083524799
41	43	3.648400719993333
42	42	4.357204537390771
43	41	3.648400719993333
30	55	0.16699750172620043
31	54	-0.5610354975326572
32	53	-0.5610354975326572
33	52	-0.5312702755936698
34	51	-0.5312702755936698
35	50	-1.8116934182964997
36	49	-1.8116934182964997
37	48	0.7148649664563891
38	47	0.7148649664563891
39	46	2.542047978692608
40	45	2.542047978692608
41	44	3.63403291483678
42	43	3.63403291483678
43	42	3.63403291483678
44	41	3.63403291483678
30	56	0.16635670427626792
31	55	0.4703755077948699
32	54	-0.5588546497856441
33	53	1.0454583411951717
34	52	-0.5291982867029219
35	51	0.4098595328318879
36	50	-1.8046401136755321
37	49	-1.5177682140608795
38	48	0.7120808744653004
39	47	0.7957024205677499
40	46	2.532153082685909
41	45	2.3949304562947873
42	44	3.6198887239945634
43	43	2.927871709525789
