Z	N	sc
32	38	-0.26618848098337367
33	37	-0.9205894805309072
34	36	-1.6069107294397327
35	35	-2.0879891581860193
36	34	-1.7024226349631135
25	46	-1.3772315843975775
26	45	-1.4351499512345072
27	44	-0.8710083006139939
28	43	-0.3308699879130472
29	42	1.0639422299400394
30	41	0.9555345156020394
31	40	0.014083609355338922
32	39	0.014083609355338922
33	38	-0.7647247047905239
34	37	-1.320310402303221
35	36	-2.0581033864446
36	35	-2.0581033864446
37	34	-1.6653509634529655
25	47	-2.3895963933482562
26	46	-1.4203753030653843
27	45	-2.2824238982091174
28	44	-0.3293422059114164
29	43	-0.5300049068309818
30	42	1.2762889798073047
31	41	-0.06741789664147291
32	40	-0.09125178852718818
33	39	-0.279666066597656
34	38	-1.3248042226728103
35	37	-2.0647980759556503
36	36	-2.075715632130141
37	35	-2.0486035012445427
25	48	-2.6562723885497235
26	47	-2.6562723885497235
27	46	-2.2464329508691208
28	45	-1.621664206146761
29	44	-0.6862574780411705
30	43	-1.1620381981995251
31	42	-0.06710297440304203
32	41	-0.1293488740302564
33	40	-0.0681803227535056
34	39	-0.46568933526987166
35	38	-2.2119848999727765
36	37	-2.039210139580973
37	36	-2.039210139580973
38	35	-1.8748212702917044
26	48	-2.644259719222646
27	47	-3.471141925369011
28	46	-1.7597160921204704
29	45	-1.9695133843172243
30	44	-1.2245153880362523
31	43	-0.18512990451449696
32	42	-0.20172857570833003
33	41	0.023353925338369663
34	40	-0.06787659459223505
35	39	-1.945622367646365
36	38	-1.8559547313673193
37	37	-2.1524014586307203
38	36	-1.8559547313673193
26	49	-3.9175175389284504
27	48	-3.7923665569815057
28	47	-3.645190355571458
29	46	-1.960731609222421
30	45	-1.9323425440156825
31	44	-0.18429959586046607
32	43	-0.16793165627632334
33	42	0.02324467967059718
34	41	0.02324467967059718
35	40	-0.9102491763530907
36	39	-1.9244805450271087
37	38	-1.6859841161988243
38	37	-1.6859841161988243
39	36	-1.9244805450271087
26	50	-3.7134316917304204
27	49	-5.561324592813207
28	48	-3.4091445453359484
29	47	-3.169082770998102
30	46	-1.872184970939088
31	45	-0.5745492666676455
32	44	-0.13259256932087737
33	43	-0.4536870416993679
34	42	-0.08515922588276226
35	41	-0.8292344848384801
36	40	-1.901014722288437
37	39	-1.7979883975415305
38	38	-1.6785627097547149
39	37	-1.7979883975415305
27	50	-5.668152990282806
28	49	-5.614499614000579
29	48	-3.231761193225111
30	47	-3.1553083577784946
31	46	-0.5720465818917546
32	45	-0.5720465818917546
33	44	0.3591328794357196
34	43	-0.48530252286923314
35	42	-0.7421189980973395
36	41	-1.6087628276441137
37	40	-1.7901793869052653
38	39	-1.7901793869052653
39	38	-1.7709435152728474
40	37	-1.7709435152728474
27	51	-3.7025740375834175
28	50	-5.682834943950411
29	49	-4.667658391010036
30	48	-3.141770436814795
31	47	-1.8262115588011056
32	46	-0.5665617001434384
33	45	-0.05566740854214913
34	44	0.35759326150173365
35	43	-0.9950099749471519
36	42	-0.5550920435080116
37	41	-1.7837124874151868
38	40	-1.7825044721619179
39	39	-1.8642791531622152
40	38	-1.4823389972148107
28	51	-3.639727985719901
29	50	-4.764309998661247
30	49	-4.564249200724134
31	48	-2.142331837620759
32	47	-1.5011853615133077
33	46	-0.04749806035169968
34	45	-0.05543192375739636
35	44	-0.990798582222169
36	43	-0.9741393754684395
37	42	-1.7013549445196077
38	41	-1.762870427476173
39	40	-1.580772510767929
40	39	-1.580772510767929
41	38	-1.4665963008428662
28	52	-3.4757927668331376
29	51	-2.9728856318431554
30	50	-4.7021388636217125
31	49	-3.696813413753034
32	48	-1.9869496546475602
33	47	-0.9797053829931883
34	46	-0.04729952850129848
35	45	0.10435255088782469
36	44	-0.9794802457493006
37	43	-0.6371954135563556
38	42	-1.755498923901996
39	41	-1.5492813825837857
40	40	-1.2336432706758842
41	39	-1.3127918376326306
28	53	-1.8539358210878163
29	52	-2.8973573875800867
30	51	-3.022546722037305
31	50	-4.298329138463259
32	49	-2.786788742079807
33	48	-1.27594501105159
34	47	-0.9591023202799533
35	46	0.10391915190166401
36	45	0.19958555322227767
37	44	-0.5648242939198553
38	43	-1.4257191571680323
39	42	-1.8405616881398146
40	41	-1.2849120344953917
41	40	-0.9540837067518169
42	39	-1.3293437926981824
28	54	-1.8463742620479024
29	53	-1.4510123496629603
30	52	-2.938458959649779
31	51	-2.2738725878853074
32	50	-4.331412686347676
33	49	-2.1598616205465078
34	48	-1.2618261565278317
35	47	-1.0217554587297855
36	46	0.1987688574463391
37	45	1.034219456241317
38	44	3.7322862452683694
39	43	-1.5450086212679253
40	42	-1.256971124680149
41	41	-1.2960516628866117
42	40	-0.6612299045045802
29	54	-1.6554259220322365
30	53	-1.6554259220322365
31	52	-1.9464465785229095
32	51	-1.934491908130667
33	50	-2.8577903573293497
34	49	-2.1511500623876145
35	48	-0.9855770959379697
36	47	-0.9855770959379697
37	46	1.0300467757606384
38	45	2.477691741488343
39	44	3.8018535750193223
40	43	-0.3620987774550031
41	42	0.23964476654805367
42	41	-0.8316625612692405
43	40	-0.3620987774550031
29	55	-0.9167478801698508
30	54	-1.6117873357882218
31	53	-0.6178478783958781
32	52	-1.9386845147657823
33	51	-1.3087867434924192
34	50	-2.846397909320558
35	49	-1.7870057085160624
36	48	-0.6618222455608702
37	47	-0.4307774379228704
38	46	2.293042510650139
39	45	2.55209930629303
40	44	-0.361641406576382
41	43	-0.34575272651454725
42	42	0.23868019064843793
43	41	-0.34575272651454725
30	55	-1.085766093748589
31	54	-0.47910789426873635
32	53	-0.47910789426873635
33	52	-1.303630025616485
34	51	-1.303630025616485
35	50	-1.9085954975180357
36	49	-1.9329834523066438
37	48	-0.02079444520427387
38	47	0.3186885287204859
39	46	2.542047978692608
40	45	2.4108854499770587
41	44	-0.34439617523185007
42	43	-0.34439617523185007
43	42	-0.3480650060100743
44	41	-0.34439617523185007
30	56	-1.0590142808871406
31	55	0.03655952620442804
32	54	-0.4772345788239818
33	53	-0.038929712220351576
34	52	-1.2985535557593266
35	51	-0.6768840421468667
36	50	-1.8046401136755321
37	49	-1.5010984778969032
38	48	0.7120808744653004
39	47	0.7285888005544621
40	46	2.376789763265606
41	45	-0.7379480947429329
42	44	-0.343060754078806
43	43	-0.7862231295491711
44	42	-0.34672161621006126
31	56	0.06595487083995977
32	55	0.03708698772288699
33	54	0.0308992212112571
34	53	-0.03877390795128122
35	52	-0.7823409720538166
36	51	-0.4105392142387245
37	50	-1.5235308100347993
38	49	-1.4069156232303612
39	48	0.7926386928877491
40	47	0.725783394228074
41	46	2.144714319385457
42	45	-0.7266579319548327
43	44	-0.7832127949429832
44	43	-0.7832127949429832
31	57	0.038787912766338195
32	56	0.06571263597447796
33	55	0.6200894042474374
34	54	0.030795466436302377
35	53	0.48785949664898
36	52	-0.7793619515180126
37	51	-0.1586651595607691
38	50	-1.5061859848465247
39	49	-1.2678870714451023
40	48	0.7230206462277238
41	47	0.45652649255930555
42	46	2.3766400333581714
43	45	-1.2019078287855791
44	44	-0.7802482917372799
45	43	-1.207615400204304
32	57	-0.07669775519116229
33	56	0.4047221884636656
34	55	0.5239407607405155
35	54	0.06100447419885313
36	53	0.48602760192420646
37	52	-0.45283556412073267
38	51	0.31145982322254895
39	50	-1.4178569352613977
40	49	-1.2631277571649662
41	48	0.4548063180582176
42	47	0.31873889987673465
43	46	0.881711472156212
44	45	-1.203080120588993
45	44	-1.203080120588993
32	58	-0.076409142415514
33	57	0.2579036573756639
34	56	0.3940759911852183
35	55	0.42961187375476584
36	54	0.10163058932312197
37	53	0.9958325098834848
38	52	0.6883934580318964
39	51	0.5875214750615214
40	50	-1.412588940217347
41	49	-1.6348871508382672
42	48	0.6485618126889676
43	47	-0.9987470804358054
44	46	1.3745093052748416
45	45	-1.343260827146878
46	44	1.6772830636564322
33	58	0.2569531282240405
34	57	0.05353580444943873
35	56	0.09010416872729365
36	55	0.4280252995981755
37	54	0.5262855008058978
38	53	2.068572576615452
39	52	0.7667410893770921
40	51	0.5853644879691728
41	50	-1.5949153281208055
42	49	-1.6288887565447112
43	48	-0.5008154709496466
44	47	-0.44191531220326397
45	46	-1.13083646985001
46	45	0.1947792002922597
33	59	0.03523220740544275
34	58	0.06840746630928152
35	57	-0.16837877417469826
36	56	0.08976829515040663
37	55	-0.42123043955075445
38	54	0.5243732616690977
39	53	2.3121845067566937
40	52	0.7639539949395839
41	51	0.2963593946888068
42	50	-1.5364579286324442
43	49	-2.5427911741778644
44	48	-0.03281820926167711
45	47	-2.5617808785807483
46	46	0.46730193201597103
47	45	-2.5617808785807483
34	59	0.08859865768476993
35	58	-0.1677829562304396
36	57	-0.18373079898242395
37	56	-0.5043225356430412
38	55	-0.41076885711140676
39	54	0.36046146391254297
40	53	2.219263615856562
41	52	0.43911518046024867
42	51	0.3548827795409579
43	50	-2.20513980586702
44	49	-2.4969128428376735
45	48	-1.2261247443507273
46	47	-1.5929152202365913
47	46	-2.499176349123445
34	60	-1.475094779349547
35	59	-1.8732657203568124
36	58	-1.0902454268693873
37	57	-1.0613423059526212
38	56	-0.5413952617611812
39	55	-0.1142934179911208
40	54	0.2481556814200303
